,Scenario,Replication,Cohort,Probability
624,2,1,77,
625,2,1,78,
626,2,2,3,
627,2,2,4,0.0196078431372549
628,2,2,5,0.03424657534246575
629,2,2,6,
630,2,2,7,
631,2,2,8,
632,2,2,9,0.008849557522123894
633,2,2,10,
634,2,2,11,
635,2,2,12,0.008064516129032258
636,2,2,13,0.07258064516129033
637,2,2,14,
638,2,2,15,0.015625
639,2,2,16,0.014705882352941176
640,2,2,17,0.0078125
641,2,2,18,0.016666666666666666
642,2,2,19,
643,2,2,20,
644,2,2,21,
645,2,2,22,
646,2,2,23,
647,2,2,24,0.027777777777777776
648,2,2,25,
649,2,2,26,0.00909090909090909
650,2,2,27,
651,2,2,28,0.02040816326530612
652,2,2,29,
653,2,2,30,
654,2,2,31,
655,2,2,32,
656,2,2,33,
657,2,2,34,
658,2,2,35,
659,2,2,36,
660,2,2,37,
661,2,2,38,
662,2,2,39,
663,2,2,40,
664,2,2,41,
665,2,2,42,
666,2,2,43,
667,2,2,44,
668,2,2,45,
669,2,2,46,
670,2,2,47,
671,2,2,48,
672,2,2,49,0.013888888888888888
673,2,2,50,
674,2,2,51,
675,2,2,52,
676,2,2,53,
677,2,2,54,
678,2,2,55,0.038461538461538464
679,2,2,56,
680,2,2,57,
681,2,2,58,
682,2,2,59,
683,2,2,60,
684,2,2,61,0.017857142857142856
685,2,2,62,0.018518518518518517
686,2,2,63,
687,2,2,64,
688,2,2,65,
689,2,2,66,
690,2,2,67,
691,2,2,68,
692,2,2,69,
693,2,2,70,
694,2,2,71,
695,2,3,3,
696,2,3,4,0.029850746268656716
697,2,3,5,
698,2,3,6,0.006756756756756757
699,2,3,7,
700,2,3,8,
701,2,3,9,
702,2,3,10,
703,2,3,11,
704,2,3,12,0.011904761904761904
705,2,3,13,0.006024096385542169
706,2,3,14,0.02531645569620253
707,2,3,15,
708,2,3,16,
709,2,3,17,0.007246376811594203
710,2,3,18,
711,2,3,19,
712,2,3,20,
713,2,3,21,
714,2,3,22,
715,2,3,23,
716,2,3,24,0.02112676056338028
717,2,3,25,
718,2,3,26,
719,2,3,27,0.01694915254237288
720,2,3,28,
721,2,3,29,
722,2,3,30,
723,2,3,31,
724,2,3,32,
725,2,3,33,
726,2,3,34,
727,2,3,35,0.015625
728,2,3,36,
729,2,3,37,
730,2,3,38,
731,2,3,39,
732,2,3,40,
733,2,3,41,0.007936507936507936
734,2,3,42,
735,2,3,43,
736,2,3,44,
737,2,3,45,
738,2,3,46,
739,2,3,47,
740,2,3,48,
741,2,3,49,
742,2,3,50,
743,2,3,51,0.0196078431372549
744,2,3,52,0.020833333333333332
745,2,3,53,0.00980392156862745
746,2,3,54,
747,2,3,55,
748,2,3,56,
749,2,3,57,
750,2,3,58,0.01
751,2,3,59,
752,2,3,60,1.0
753,2,4,3,
754,2,4,4,
755,2,4,5,0.01875
756,2,4,6,
757,2,4,7,
758,2,4,8,0.011235955056179775
759,2,4,9,
760,2,4,10,
761,2,4,11,
762,2,4,12,
763,2,4,13,
764,2,4,14,
765,2,4,15,
766,2,4,16,
767,2,4,17,
768,2,4,18,
769,2,4,19,
770,2,4,20,
771,2,4,21,
772,2,4,22,0.024390243902439025
773,2,4,23,0.02564102564102564
774,2,4,24,
775,2,4,25,
776,2,4,26,
777,2,4,27,
778,2,4,28,
779,2,4,29,
780,2,4,30,0.020833333333333332
781,2,4,31,
782,2,4,32,
783,2,4,33,
784,2,4,34,0.04081632653061224
