essround,idno,yrbrn,agea,eisced,gndr,hincsrca,bthcld,eiscedp,eiscedf,eiscedm,hinctnta,iincsrc
1,292,1979,24,3,2,,,,,,,
1,293,1981,22,2,1,,,,,,,
1,294,1956,47,7,1,,,,,,,
1,295,1971,31,3,2,,,,,,,
1,296,1978,24,7,9,,,,,,,
1,297,1923,79,3,2,,,,,,,
1,298,1981,21,4,1,,,,,,,
1,299,1950,52,6,1,,,,,,,
1,300,1933,69,1,2,,,,,,,
1,301,1944,58,2,2,,,,,,,
1,302,1962,40,2,1,,,,,,,
1,303,1956,46,3,2,,,,,,,
1,305,1967,36,4,1,,,,,,,
1,314,9999,999,7,1,,,,,,,
1,315,1972,30,4,1,,,,,,,
1,316,1963,39,7,2,,,,,,,
1,317,1935,67,7,1,,,,,,,
1,318,1957,45,2,1,,,,,,,
1,319,1962,40,7,2,,,,,,,
1,320,1921,81,7,1,,,,,,,
1,321,1952,50,7,1,,,,,,,
1,322,1973,29,6,1,,,,,,,
1,323,1952,50,4,2,,,,,,,
1,324,1935,67,2,1,,,,,,,
1,325,1947,55,3,1,,,,,,,
1,326,1969,34,2,1,,,,,,,
1,327,1987,16,2,2,,,,,,,
1,328,1971,32,3,2,,,,,,,
1,329,1967,36,2,1,,,,,,,
1,330,1958,45,3,1,,,,,,,
1,331,1960,43,7,2,,,,,,,
1,332,1955,48,2,1,,,,,,,
1,333,1982,21,2,1,,,,,,,
1,334,9999,999,99,9,,,,,,,
1,335,1985,17,2,1,,,,,,,
1,336,1977,25,6,2,,,,,,,
1,337,1960,42,6,1,,,,,,,
1,338,1971,31,6,1,,,,,,,
1,339,1965,37,3,1,,,,,,,
1,340,1922,80,1,2,,,,,,,
1,341,1954,48,6,2,,,,,,,
1,342,1967,35,3,2,,,,,,,
1,343,1954,48,2,2,,,,,,,
1,344,1953,49,6,1,,,,,,,
1,345,1961,41,4,1,,,,,,,
1,346,1948,54,3,1,,,,,,,
1,347,1950,52,2,2,,,,,,,
1,348,9999,999,6,2,,,,,,,
1,349,1956,46,1,2,,,,,,,
1,350,1965,37,6,1,,,,,,,
1,351,1979,23,2,2,,,,,,,
1,352,1946,56,6,2,,,,,,,
1,353,1944,58,3,1,,,,,,,
1,354,9999,999,7,2,,,,,,,
1,355,1975,27,4,2,,,,,,,
1,356,1934,68,1,2,,,,,,,
1,357,1969,33,2,1,,,,,,,
1,358,1971,32,2,2,,,,,,,
1,359,1984,19,2,1,,,,,,,
1,360,9999,999,6,1,,,,,,,
1,361,1940,63,2,2,,,,,,,
1,362,9999,999,6,1,,,,,,,
1,363,1947,55,2,2,,,,,,,
1,364,1969,33,6,2,,,,,,,
1,365,1976,26,7,1,,,,,,,
1,366,1938,64,1,2,,,,,,,
1,367,1961,41,4,2,,,,,,,
1,368,1979,23,4,2,,,,,,,
1,369,1949,53,4,1,,,,,,,
1,370,1943,59,6,2,,,,,,,
1,371,1933,69,4,1,,,,,,,
1,372,1963,39,4,2,,,,,,,
1,373,1982,20,4,2,,,,,,,
1,374,1952,50,4,1,,,,,,,
1,375,1972,30,4,2,,,,,,,
1,376,1929,73,6,1,,,,,,,
1,377,1969,33,4,2,,,,,,,
1,378,1966,36,1,2,,,,,,,
1,379,1955,47,4,1,,,,,,,
1,380,1986,16,2,2,,,,,,,
1,381,1974,28,1,1,,,,,,,
1,382,1968,34,6,2,,,,,,,
1,383,1951,51,1,2,,,,,,,
1,384,1981,21,3,2,,,,,,,
1,385,9999,999,88,1,,,,,,,
1,386,1920,83,6,1,,,,,,,
1,387,1959,43,4,1,,,,,,,
1,388,1974,28,6,2,,,,,,,
1,389,1951,51,2,2,,,,,,,
1,390,1947,55,4,2,,,,,,,
1,391,1965,37,2,2,,,,,,,
1,392,1983,19,2,1,,,,,,,
1,393,1977,26,1,1,,,,,,,
1,394,1939,63,6,2,,,,,,,
1,395,1944,58,3,1,,,,,,,
1,396,1957,45,6,1,,,,,,,
1,397,1962,40,6,2,,,,,,,
1,398,1925,77,6,2,,,,,,,
1,399,1946,999,3,2,,,,,,,
1,400,1969,33,3,2,,,,,,,
1,401,1982,20,4,1,,,,,,,
1,402,1952,50,6,2,,,,,,,
1,403,1976,26,7,2,,,,,,,
